Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
NOV,2022,Q4,District 2,Fabmar Street,501636,Residential,"Fabmar St, Dist. 2",193.0,200.0,193.0,200.0,7,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501779,Commercial,"Fabmar St, Dist. 2",339.0,361.0,339.0,361.0,22,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501409,Residential,"Fabmar St, Dist. 2",489.0,495.0,489.0,495.0,6,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501921,Residential,"Fabmar St, Dist. 2",148.0,178.0,148.0,178.0,30,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501619,Residential,"Fabmar St, Dist. 2",1038.0,1075.0,1038.0,1075.0,37,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500787,Residential,"Fabmar St, Dist. 2",836.0,854.0,836.0,854.0,18,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500755,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Fabmar Street,500682,Residential,"Fabmar St, Dist. 2",43.0,,43.0,43.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501587,Residential,"Fabmar St, Dist. 2",1429.0,1445.0,1429.0,1445.0,16,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501753,Residential,"Fabmar St, Dist. 2",340.0,376.0,340.0,376.0,36,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500902,Residential,"Fabmar St, Dist. 2",1870.0,1883.0,1870.0,1883.0,13,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500314,Residential,"Fabmar St, Dist. 2",4773.0,4773.0,4773.0,4773.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501585,Residential,"Fabmar St, Dist. 2",2133.0,2182.0,2133.0,2182.0,49,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500373,Residential,"Fabmar St, Dist. 2",4760.0,4789.0,4760.0,4789.0,29,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501300,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 2,Fabmar Street,501699,Residential,"Fabmar St, Dist. 2",459.0,514.0,459.0,514.0,55,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501614,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501608,Residential,"Fabmar St, Dist. 2",1477.0,1502.0,1477.0,1502.0,25,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501245,Residential,"Fabmar St, Dist. 2",578.0,600.0,578.0,600.0,22,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501771,Residential,"Fabmar St, Dist. 2",161.0,174.0,161.0,174.0,13,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500914,Residential,"Fabmar St, Dist. 2",525.0,544.0,525.0,544.0,19,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501655,Residential,"Fabmar St, Dist. 2",1337.0,,1337.0,1337.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501893,Residential,"Fabmar St, Dist. 2",206.0,258.0,206.0,258.0,52,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500553,Residential,"Fabmar St, Dist. 2",2162.0,2161.0,2162.0,2161.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501045,Residential,"Fabmar St, Dist. 2",1183.0,1183.0,1183.0,1183.0,0,Corrected,Active
