Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
MAY,2024,Q2,District 1,Gutierrez Street,501429,Residential,"Gutierrez St, Dist. 1",2167,2181,2167.0,2181.0,14,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,502055,Residential,"Gutierrez St, Dist. 1",75,82,75.0,82.0,7,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500632,Residential,Gutierrez St.,2018,2030,2018.0,2030.0,12,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500337,Residential,"Gutierrez St, Dist. 1",7879,7901,7879.0,7901.0,22,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,501500,Commercial,Gutierrez St.,358,368,358.0,368.0,10,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,501802,Residential,Gutierrez St.,668,688,668.0,688.0,20,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,501897,Residential,"Gutierrez St, Dist. 1",614,635,614.0,635.0,21,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500392,Residential,Gutierrez St.,5891,5932,5891.0,5932.0,41,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,501246,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,502018,Commercial,Gutierrez St.,250,269,250.0,269.0,19,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500490,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500285,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500289,Residential,Gutierrez St.,4762,4772,4762.0,4772.0,10,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500453,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 1,Gutierrez Street,501406,Residential,"Gutierrez St, Dist. 1",500,502,500.0,502.0,2,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500383,Residential,Gutierrez St.,121,129,121.0,129.0,8,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500338,Residential,"Gutierrez St, Dist. 1",699,708,699.0,708.0,9,Corrected,Active
