Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
JAN,2020,Q1,District 3,Lique Street,501333,Residential,"Lique St, Dist. 3",,,,,0,Corrected,Unknown
JAN,2020,Q1,District 4,Lique Street,500621,Residential,"Lique St, Dist. 4",1458.0,1497.0,1458.0,1497.0,39,Corrected,Active
JAN,2020,Q1,District 3,Lique Street,500167,Residential,"Lique St, Dist. 3",3011.0,3069.0,3011.0,3069.0,58,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,500870,Commercial,"Lique St, Dist. 4",9016.0,,9016.0,9016.0,0,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,500834,Residential,"Lique St, Dist. 4",107.0,,107.0,107.0,0,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,501101,Commercial,"Lique St, Dist. 1",2669.0,2673.0,2669.0,2673.0,4,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,501115,Residential,"Lique St, Dist. 4",1508.0,1530.0,1508.0,1530.0,22,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,500311,Residential,"Lique St, Dist. 4",3514.0,3545.0,3514.0,3545.0,31,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,500075,Residential,"Lique St, Dist. 4",3534.0,3544.0,3534.0,3544.0,10,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,500079,Residential,"Lique St, Dist. 4",2878.0,2878.0,2878.0,2878.0,0,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,500876,Residential,"Lique St, Dist. 4",624.0,647.0,624.0,647.0,23,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,500388,Residential,"Lique St, Dist. 1",3834.0,3850.0,3834.0,3850.0,16,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,500386,Residential,"Lique St, Dist. 1",1757.0,1777.0,1757.0,1777.0,20,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,500697,Residential,"Lique St, Dist. 1",4258.0,4326.0,4258.0,4326.0,68,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,501326,Residential,"Lique St, Dist. 1",6480.0,6523.0,6480.0,6523.0,43,Corrected,Active
JAN,2020,Q1,District 3,Lique Street,501166,Residential,"Lique St, Dist. 3",433.0,436.0,433.0,436.0,3,Corrected,Active
JAN,2020,Q1,District 4,Lique Street,501532,Residential,"Lique St, Dist. 4",127.0,132.0,127.0,132.0,5,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,500566,Residential,"Lique St, Dist. 1",8816.0,8894.0,8816.0,8894.0,78,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,500666,Residential,"Lique St, Dist. 1",5540.0,5598.0,5540.0,5598.0,58,Corrected,Active
JAN,2020,Q1,District 1,Lique Street,501489,Residential,"Lique St, Dist. 1",584.0,606.0,584.0,606.0,22,Corrected,Active
JAN,2020,Q1,District 3,Lique Street,500217,Residential,"Lique St, Dist. 3",,,,,0,Corrected,Unknown
JAN,2020,Q1,District 4,Lique Street,501504,Residential,"Lique St, Dist. 4",70.0,108.0,70.0,108.0,38,Corrected,Active
